	dataset	img_num	Is_clinical_data_available	cohort_tissue_type	cohort_tissue_type_mapping	disease_type_column_name	disease_type_factor_levels	histology	histology_mapping	_disease_stage	disease_stage_mapping	_histological_location	histological_location_mapping	_grade	grade_mapping	_treatment	treatment_mapping	_treatment_response	treatment_response_mapping	relapse	progression	_survival	survival_mapping	_patient_status	patient_status_mapping	TNM	_antibody_status	_antibody_status_mapping	others	clinical_file_path	image_name_pattern	transform_rules	ID_column_names	patient_ID_column_name	embeddings_files_paths	Patient_level_clinical_data
9	hoch-rna	166	yes	melanoma		Primary_melanoma_type				Cancer_stage		MM_location				before/after surgery		weirdly coded		yes	Time_to_progression_or_last_PET  censoring_progression	Time_to_death_or_last_PET + censoring_death				no										/raid_encrypted/immucan/IMC/immu-vis-other-ds/hoch/full_data/rna/clinical_data.csv
10	xu	158	yes	melanoma																																/raid_encrypted/immucan/IMC/immu-vis-other-ds/xu-melanoma/clidata
	-puch											Site									isProgressed + PFS 	OS + isDeceased				yes										/raid_encrypted/immucan/IMC/immu-vis-other-ds/xu-melanoma/clidata/mel_puch_cli.csv
	-liu19																	yes				OS + status														/raid_encrypted/immucan/IMC/immu-vis-other-ds/xu-melanoma/clidata/mel_liu19_survival_data.csv
	-bms038																	yes			PFS + status?	OS + status														/raid_encrypted/immucan/IMC/immu-vis-other-ds/xu-melanoma/clidata/mel_bms038_survival_data.csv
	rigamonti	158	yes	lung																																/raid_encrypted/immucan/IMC/immu-vis-other-ds/rigamonti_2025/clinical_data.csv
11	cho_2025	140		pancreas;liver								pancereas/liver				yes																				/raid_encrypted/immucan/IMC/immu-vis-other-ds/cho_2025/clinical_data.csv
12	cords-fibro	110		breast		Subtype = LumA,Lumb,LumB‐HER2,TN								Grade = 1 2 3		Treatment = unknown,no,yes (ECPaclitaxel)													TIG = TIG2 TIG3							/raid_encrypted/immucan/IMC/immu-vis-other-ds/cords_fibro/clinical_data.csv
13	bengsch	108		liver																																
14	einhaus_2025	94		oral (mainly tongue)																																
15	bowen-lynch	85		colon;rectum																																
16	ohara	58		urothelium																																
17	ehret_2025_p1	56		organoid epithelium																																
18	ehret_2025_p2	52		i found one study																																
19	susman	35		pancreas																																
20	ajaib	34		brain																																
21	kucukkose	27		colon;rectum																																
22	haley_glio	24		brain																																
additional info			not sure about immucan							in cancer stage tells how much tumor grown and did it spread. Grade tells about how strogly the tumor cells are different from normal ones																A more detailed system of staging tumors										
																																				
	dataset	feature_name	feature_type (categorical, ordinal, continous / other)		dataset	(rozdzieloczość obrazu) - file name	feature_name	val																												
	steenbuck_isles	histology	categorical																																	
